"year","reg","stat","sex","s.age","length","mean","sd","n","se"
"1",1963,"3A ",250,"F",7,"length",78.6,11.3269589917153,5,5.06557005676558
"2",1963,"3A ",250,"F",8,"length",114,0,1,0
"3",1963,"3A ",250,"F",9,"length",93,16.0831174424198,7,6.07884700846969
"4",1963,"3A ",250,"F",10,"length",122,13.7404512298541,6,5.60951572479004
"5",1963,"3A ",250,"F",11,"length",124.222222222222,10.8140854650056,9,3.60469515500185
"6",1963,"3A ",250,"F",12,"length",129.2,8.75785361832453,5,3.91663120551323
"7",1963,"3A ",250,"F",13,"length",137.25,17.7458915433028,4,8.87294577165141
"8",1963,"3A ",250,"F",14,"length",166.5,0.707106781186548,2,0.5
"9",1963,"3A ",250,"F",15,"length",162,4.24264068711928,2,3
"10",1963,"3A ",250,"F",16,"length",148.5,0.707106781186548,2,0.5
"11",1963,"3A ",250,"F",18,"length",172,0,1,0
"12",1963,"3A ",250,"M",7,"length",73.3333333333333,1.52752523165195,3,0.881917103688197
"13",1963,"3A ",250,"M",8,"length",81,9.89949493661167,5,4.42718872423573
"14",1963,"3A ",250,"M",9,"length",81.25,10.5316981853197,4,5.26584909265986
"15",1963,"3A ",250,"M",10,"length",100.333333333333,18.6100331362771,3,10.7445076408575
"16",1963,"3A ",250,"M",11,"length",84.6666666666667,5.5075705472861,3,3.17979733805649
"17",1963,"3A ",250,"M",12,"length",115.5,7.72442015083764,4,3.86221007541882
"18",1963,"3A ",250,"M",13,"length",118.5,2.12132034355964,2,1.5
"19",1963,"3A ",260,"F",7,"length",91,0,1,0
"20",1963,"3A ",260,"F",8,"length",98.5,9.88264472024906,4,4.94132236012453
"21",1963,"3A ",260,"F",9,"length",101.8,11.5195486022674,5,5.1516987489565
"22",1963,"3A ",260,"F",10,"length",114.166666666667,25.6001302080022,6,10.4512093930692
"23",1963,"3A ",260,"F",11,"length",127.4,5.63914887194867,5,2.5219040425837
"24",1963,"3A ",260,"F",12,"length",127.571428571429,6.85218074428725,7,2.5898808839785
"25",1963,"3A ",260,"F",13,"length",137,9.02773504263389,5,4.03732584763727
"26",1963,"3A ",260,"F",14,"length",128,2.82842712474619,2,2
"27",1963,"3A ",260,"F",15,"length",145.4,18.9552103654905,5,8.4770277810091
"28",1963,"3A ",260,"F",16,"length",165,0,1,0
"29",1963,"3A ",260,"F",17,"length",157.666666666667,36.0739980225832,3,20.8273324690844
"30",1963,"3A ",260,"F",18,"length",138.75,25.708299567779,4,12.8541497838895
"31",1963,"3A ",260,"M",7,"length",81.75,14.1273965518539,4,7.06369827592695
"32",1963,"3A ",260,"M",8,"length",89.75,12.0381338531629,4,6.01906692658145
"33",1963,"3A ",260,"M",9,"length",109.8,10.733126291999,5,4.8
"34",1963,"3A ",260,"M",10,"length",107.6,7.82943165242535,5,3.50142828000232
"35",1963,"3A ",260,"M",11,"length",101,12.5219806739988,6,5.11207720338155
"36",1963,"3A ",260,"M",12,"length",111,4.24264068711928,2,3
"37",1963,"3A ",260,"M",13,"length",113.666666666667,8.32666399786453,3,4.80740170061865
"38",1963,"3A ",260,"M",15,"length",128.5,2.12132034355964,2,1.5
"39",1963,"3A ",260,"M",17,"length",145,0,1,0
"40",1963,"3A ",270,"F",7,"length",82.3333333333333,15.1745400808943,6,6.19498004660046
"41",1963,"3A ",270,"F",8,"length",100.666666666667,22.2785397486759,3,12.8625209210498
"42",1963,"3A ",270,"F",9,"length",108.6,6.06630035524124,5,2.71293199325011
"43",1963,"3A ",270,"F",10,"length",118.5,12.9228479833201,4,6.46142399166004
"44",1963,"3A ",270,"F",11,"length",129,15.556349186104,2,11
"45",1963,"3A ",270,"F",12,"length",132.833333333333,13.0447946195663,6,5.32551510289015
"46",1963,"3A ",270,"F",14,"length",128,0,1,0
"47",1963,"3A ",270,"F",15,"length",163.5,19.0918830920368,2,13.5
"48",1963,"3A ",270,"F",18,"length",136,0,1,0
"49",1963,"3A ",270,"M",7,"length",77.5,24.7487373415292,2,17.5
"50",1963,"3A ",270,"M",8,"length",91.6,18.1741574770332,5,8.12773031048644
"51",1963,"3A ",270,"M",9,"length",82.1428571428571,16.2319496819141,7,6.13510030743695
"52",1963,"3A ",270,"M",10,"length",98.5,18.7349939951952,4,9.3674969975976
"53",1963,"3A ",270,"M",11,"length",87.4,13.3529023062404,5,5.97159945073345
"54",1963,"3A ",270,"M",12,"length",94,7.02376916856849,4,3.51188458428425
"55",1963,"3A ",270,"M",13,"length",123,0,1,0
"56",1963,"3A ",270,"M",14,"length",115,0,1,0
"57",1963,"3A ",280,"F",7,"length",88,0,1,0
"58",1963,"3A ",280,"F",8,"length",86.75,21.4534379529249,4,10.7267189764625
"59",1963,"3A ",280,"F",9,"length",117.666666666667,8.08290376865476,3,4.66666666666667
